Folder Path,traj.csv exists?,foodpatches_reviewed.mat exists?,traj.mat exists?,traj.mat empty?,Diagnosis of video,frames with zero worms,frames with one worm,frames with two or more worms,proportion of frames with multiple worms,final classification of the video
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221125T232132_SmallPatches_C2-CAM2,1,1,1,0,OK,3840,30642,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221110T194534_SmallPatches_C5-CAM3,1,1,1,0,OK,0,34678,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221123T211445_SmallPatches_C4-CAM4,1,0,1,0,WEIRD,521,22795,11316,0.3267498267498268,2+ worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221110T193059_SmallPatches_C3-CAM8,1,1,1,0,OK,583,34060,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221125T233330_SmallPatches_C4-CAM4,1,1,1,0,OK,2276,32358,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221011T111213_SmallPatches_C1-CAM7,1,1,1,0,OK,3116,29123,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221126T203601_SmallPatches_C3-CAM1,1,1,1,0,OK,0,34201,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221011T191711_SmallPatches_C2-CAM6,1,1,1,0,OK,16145,17201,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221015T195306_SmallPatches_C1-CAM5,1,1,1,0,OK,398,34216,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221012T130040_SmallPatches_C2-CAM1,1,1,1,0,OK,29,27532,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221117T195557_SmallPatches_C1-CAM2,1,1,1,0,OK,3516,31049,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221115T113217_SmallPatches_C5-CAM1,1,1,1,0,OK,6909,27707,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221017T202150_SmallPatches_C3-CAM8,1,0,1,0,WEIRD,0,2186,32404,0.9368025440878867,2+ worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221126T203601_SmallPatches_C3-CAM6,1,1,1,0,OK,0,34585,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221116T102254_SmallPatches_C1-CAM7,1,1,1,0,OK,21549,13019,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221125T233330_SmallPatches_C4-CAM3,1,1,1,0,OK,2786,31814,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221122T102404_SmallPatches_C3-CAM1,1,1,1,0,OK,1211,33386,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221110T194534_SmallPatches_C5-CAM4,1,1,1,0,OK,0,34668,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221123T211445_SmallPatches_C4-CAM3,1,1,1,0,OK,8713,8938,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221115T113217_SmallPatches_C5-CAM6,1,1,1,0,OK,3460,31170,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221117T195557_SmallPatches_C1-CAM5,0,0,1,0,WEIRD,0,0,0,0.0,0 worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221012T131806_SmallPatches_C4-CAM1,1,1,1,0,OK,0,26440,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221011T112304_SmallPatches_C4-CAM5,1,1,1,0,OK,1862,30485,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221012T130040_SmallPatches_C2-CAM6,1,1,1,0,OK,51,27632,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221110T105445_SmallPatches_C1-CAM8,1,1,1,0,OK,373,34249,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221125T232044_SmallPatches_C1-CAM8,0,0,1,0,WEIRD,0,0,0,0.0,0 worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221015T195306_SmallPatches_C1-CAM2,1,1,1,0,OK,1513,33111,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221125T232044_SmallPatches_C1-CAM1,1,1,1,0,OK,16831,1474,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221110T105445_SmallPatches_C1-CAM1,1,1,1,0,OK,6692,26857,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221116T103106_SmallPatches_C6-CAM3,1,1,1,0,OK,13078,21632,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221115T113223_SmallPatches_C6-CAM7,1,0,1,0,WEIRD,83,7604,26939,0.7779991913590943,2+ worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221017T202150_SmallPatches_C3-CAM1,1,1,1,0,OK,6584,28023,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221011T192159_SmallPatches_C5-CAM3,1,1,1,0,OK,9209,25473,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221126T114423_SmallPatches_C5-CAM7,1,1,1,0,OK,19814,4259,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221122T192231_SmallPatches_C2-CAM4,0,0,1,1,NO WORM,0,0,0,0.0,0 worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221126T205101_SmallPatches_C4-CAM3,1,1,1,0,OK,1546,33010,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221110T193059_SmallPatches_C3-CAM6,1,0,1,0,WEIRD,81,30385,4175,0.12052192488669496,2+ worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221120T190805_SmallPatches_C2-CAM7,1,1,1,0,OK,6926,27773,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221116T103106_SmallPatches_C6-CAM4,1,1,1,0,OK,3780,30943,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221125T232044_SmallPatches_C1-CAM6,1,0,1,0,WEIRD,0,28664,5891,0.17048184054406018,2+ worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221014T101555_SmallPatches_C3-CAM7,1,0,1,0,WEIRD,3386,31273,1,2.8851702250432774e-05,1 worm with errors
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221115T113217_SmallPatches_C5-CAM8,1,1,1,0,OK,10048,24585,0,0.0,1 worm clean
