Folder Path;traj.csv exists?;foodpatches_reviewed.csv exists?;traj.mat exists?;traj.mat empty?;Diagnosis of video;frames with zero worms;frames with one worm;frames with two or more worms;proportion of frames with multiple worms;final classification of the video
Documents/PTUT/Minipatches_light_20260116/20221122T193937_SmallPatches_C4-CAM4;1;1;1;0;OK;19478;15561;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221120T191908_SmallPatches_C6-CAM4;1;1;1;0;OK;431;34613;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221125T143338_SmallPatches_C2-CAM7;1;1;1;0;OK;2121;33064;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T114833_SmallPatches_C2-CAM4;1;1;1;0;OK;486;33372;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221115T193605_SmallPatches_C2-CAM6;0;1;0;0;WEIRD;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221121T121404_SmallPatches_C6-CAM3;1;1;0;0;WEIRD;5208;23206;6716;0.19117563336179902;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221120T190723_SmallPatches_C1-CAM8;1;1;1;0;OK;12846;22146;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221121T205835_SmallPatches_C4-CAM4;1;1;0;0;WEIRD;794;4520;29715;0.8482971252390876;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221014T191245_SmallPatches_C3-CAM5;1;1;0;0;WEIRD;653;6606;27788;0.7928781350757554;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221013T201234_SmallPatches_C1-CAM2;1;1;0;0;WEIRD;324;5748;28898;0.826365456105233;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221014T192717_SmallPatches_C5-CAM4;1;1;1;0;OK;330;34673;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T105407_SmallPatches_C4-CAM5;1;1;1;0;OK;18723;16291;0;0.0;1 worm clean
